state,year,greenhouse emission
OR,2016,7966597.796
PA,2016,82976268.39
AK,2017,3084471.884
AL,2017,49170431.86
AR,2017,32556688.45
AZ,2017,41494196.36
CA,2017,29296633.77
CO,2017,36125005.44
CT,2017,6411754.279
DC,2017,186578.804
DE,2017,2813013.613
FL,2017,88307916.43
GA,2017,54280780.24
HI,2017,6537805.15
IA,2017,25865722.78
ID,2017,1148276.996
IL,2017,54738997.55
IN,2017,77166256.09
KS,2017,22096172.21
KY,2017,63126393.18
LA,2017,40737789.33
MA,2017,10455780.65
MD,2017,10561517.42
ME,2017,989596.25
MI,2017,58568161.91
MN,2017,26963659.52
MO,2017,66580812.34
MS,2017,25198882.94
MT,2017,15784612.19
NC,2017,42231848.64
ND,2017,29321461.68
NE,2017,21354889.74
NH,2017,1815794.778
NJ,2017,17144896.2
NM,2017,23776616.92
NV,2017,13227136.69
NY,2017,24244686.18
OH,2017,78873808.98
OK,2017,29953240.79
OR,2017,7699755.382
PA,2017,78384041.25
AK,2018,2986767.776
AL,2018,49769099.97
AR,2018,37843205.84
AZ,2018,44841345.92
CA,2018,30096035.04
CO,2018,34701670.45
CT,2018,8361673.034
DC,2018,213946.788
DE,2018,2355982.516
FL,2018,84444566.7
GA,2018,54321324.58
HI,2018,6499349.482
IA,2018,30020769.68
ID,2018,1273827.68
IL,2018,56823994.68
IN,2018,83408542.64
KS,2018,23247365.2
KY,2018,66490600.43
LA,2018,41160397.99
MA,2018,8090096.466
MD,2018,14748249.25
ME,2018,1073866.178
MI,2018,61456516.45
MN,2018,28275898.8
MO,2018,63499883.17
MS,2018,26862277.76
MT,2018,15355899.11
NC,2018,43159816.85
ND,2018,30506895.33
NE,2018,23396981.42
NH,2018,2103910.964
NJ,2018,17507087.2
NM,2018,19893815.89
NV,2018,13898380.03
NY,2018,26553094.31
OH,2018,76033302.01
OK,2018,32305942.07
OR,2018,8592790.92
PA,2018,74679721.8
AK,2019,3061629.318
AL,2019,44025944.74
AR,2019,32976696.81
AZ,2019,42402830.69
CA,2019,28734305.08
CO,2019,34291236.95
CT,2019,7587699.556
DC,2019,199949.86
DE,2019,1662351.874
FL,2019,78792276.59
GA,2019,50994833.45
HI,2019,6611146.078
IA,2019,23717934.18
ID,2019,1699929.1
IL,2019,46768047.92
IN,2019,69275198.23
KS,2019,20493983.6
KY,2019,58674195.11
LA,2019,38511052.66
MA,2019,6557470.694
MD,2019,10813801.86
ME,2019,753031.706
MI,2019,56636896.13
MN,2019,24123526.42
MO,2019,56281311.8
MS,2019,25548515.69
MT,2019,16371456.95
NC,2019,39631002
ND,2019,28394559
NE,2019,21033538.1
NH,2019,1797755.174
NJ,2019,17735315.58
NM,2019,21360062.2
NV,2019,13803713.48
NY,2019,23573054.93
OH,2019,67176587.44
OK,2019,27631744.07
OR,2019,10806560.47
PA,2019,75111706.18
RI,2019,2861204.309
RI,2018,3209949.731
RI,2017,2912639.779
RI,2016,2561934.16
RI,2015,2786767.674
RI,2014,2515350.39
RI,2013,2518577.69
RI,2012,3393700.304
RI,2011,3585432.468
SC,2019,22247187.06
SC,2018,26027503.52
SC,2017,22503845.13
SC,2016,25133863.41
SC,2015,26286285.21
SC,2014,29284971.28
SC,2013,25317155.96
SC,2012,30296732.74
SC,2011,35627187.61
SD,2019,3393306.432
SD,2018,3079533.082
SD,2017,2620985.416
SD,2016,2682909.028
SD,2015,1975674.662
SD,2014,3107781.622
SD,2013,3293043.038
SD,2012,3230315.444
SD,2011,3013966.972
TN,2019,25482542.52
TN,2018,26929295.83
TN,2017,32967728.17
TN,2016,35482542.64
TN,2015,33914949.27
TN,2014,38016465.12
TN,2013,34997508.56
TN,2012,38593492.32
TN,2011,40633176.87
TX,2019,183604248.4
TX,2018,194447774.8
TX,2017,202488830.2
TX,2016,198768795.4
TX,2015,200146234.9
TX,2014,213118346.7
TX,2013,215761799.1
TX,2012,210366753.2
TX,2011,223456858.3
UT,2019,28042523.78
UT,2018,28471596.02
UT,2017,27433101.63
UT,2016,27869354.23
UT,2015,33293795.64
UT,2014,34740296.21
UT,2013,35110387.74
UT,2012,31694046.72
UT,2011,33174765.34
VA,2019,27497231.52
VA,2018,30990784.56
VA,2017,30021519.65
VA,2016,34499396.21
VA,2015,32239460.85
VA,2014,31250418.7
VA,2013,31477523.74
VA,2012,26041498.98
VA,2011,28963980.65
VT,2019,0
VT,2018,0
VT,2017,0
VT,2016,0
VT,2015,1277.448
VT,2014,2658.348
VT,2013,2790.968
VT,2012,8864.652
VT,2011,10004.66
WA,2019,14238512.35
WA,2018,10307008.82
WA,2017,10313415.55
WA,2016,9445187.118
WA,2015,10794545.78
WA,2014,11698417.15
WA,2013,11979739.7
WA,2012,6148986.626
WA,2011,7341514.936
WI,2019,34891074.48
WI,2018,41820035.67
WI,2017,43704615.75
WI,2016,41533064.85
WI,2015,44512094.18
WI,2014,42403074.94
WI,2013,46007541.88
WI,2012,39728495.99
WI,2011,44930244.02
WV,2019,48732042.3
WV,2018,54598091.55
WV,2017,59447110.16
WV,2016,61130383.18
WV,2015,57385961.95
WV,2014,64027104.41
WV,2013,62166894.68
WV,2012,58189555.98
WV,2011,63507071.06
WY,2019,39112265.59
WY,2018,42656234.27
WY,2017,43051517.8
WY,2016,42712138.02
WY,2015,45503487.31
WY,2014,44841410.15
WY,2013,48830639.89
WY,2012,46069466.2
WY,2011,44357985.82
